STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Bihar,2010,OTHER KINDS OF PROP. OFF.,493,136,7947645,792981
Bihar,2010,TOTAL (MANUAL),22727,3180,547924668,74962835
Bihar,2010,DACOITY,644,125,64448938,8596846
Bihar,2010,ROBBERY,1538,305,83964697,14080283
Bihar,2011,TOTAL (MANUAL),24105,3057,599224636,93607322
Bihar,2011,C.B. OF TRUST,1718,24,35967941,681481
Bihar,2011,ROBBERY,1381,302,79841228,11409718
Bihar,2011,OTHER KINDS OF PROP. OFF.,529,135,6058927,959418
Bihar,2011,THEFTS,16292,2076,357772770,60444416
Bihar,2011,DACOITY,556,128,73672259,14910554
Bihar,2011,BURGLARY,3629,392,45911511,5201735
Bihar,2012,DACOITY,540,152,83753630,27078570
Bihar,2012,TOTAL (MANUAL),25505,3932,741797956,123276558
Bihar,2012,OTHER KINDS OF PROP. OFF.,624,93,3569972,766212
Bihar,2012,C.B. OF TRUST,1650,75,31343006,1264858
Bihar,2012,THEFTS,17667,2802,498756520,68392955
Bihar,2012,ROBBERY,1266,340,62976218,14273026
Bihar,2012,COMP. TOTAL (6 TO 15),25505,3932,741797956,123276558
Bihar,2012,BURGLARY,3758,470,61398610,11500937
Chhattisgarh,2001,BURGLARY,4144,1169,30457033,6518261
Chhattisgarh,2001,THEFTS,4812,1664,51329061,22767348
Chhattisgarh,2001,C.B. OF TRUST,147,52,13069226,1672704
Chhattisgarh,2001,DACOITY,87,60,5919328,2365213
Chhattisgarh,2001,OTHER KINDS OF PROP. OFF.,366,170,7145770,2310687
Chhattisgarh,2001,ROBBERY,338,183,4322038,1697760
Chhattisgarh,2001,TOTAL (MANUAL),9894,3298,112242456,37331973
Chhattisgarh,2002,TOTAL (MANUAL),8687,3068,173008693,40621866
Chhattisgarh,2002,DACOITY,144,43,15449856,3018162
